Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Graph,Time-Prof
llama-2-7b,2,4,8 8 8 8,int4,False,100,1,0.4963640371958415,10.6341552734375,13.7939453125,169.86588191986084,25.63998818397522
llama-2-7b,2,4,8 8 8 8,int4,False,100,2,0.5196985403696696,11.02484130859375,14.2802734375,166.20753359794617,25.41602325439453
llama-2-7b,2,4,8 8 8 8,int4,False,100,4,0.5847723484039307,11.85296630859375,15.2099609375,169.18709015846252,25.700539350509644
llama-2-7b,2,4,8 8 8 8,int4,False,100,8,0.6172672112782797,13.44482421875,16.9638671875,173.37135124206543,25.86773443222046
llama-2-7b,2,4,8 8 8 8,int4,False,100,16,0.6743022600809733,16.70068359375,20.6005859375,173.80550289154053,26.39767074584961
llama-2-7b,2,4,8 8 8 8,int4,False,100,32,0.7866119543711344,23.44287109375,27.9521484375,173.81514024734497,27.22266983985901
llama-2-7b,2,4,8 8 8 8,int4,False,100,64,1.0945595900217693,37.93115234375,44.3349609375,176.16267800331116,28.723111867904663
llama-2-7b,2,4,8 8 8 8,int4,False,100,128,1.8172837893168132,63.60296630859375,73.4130859375,177.96153950691223,32.9360237121582
llama-2-7b,2,4,8 8 8 8,int4,False,100,256,3.435483773549398,110.96240234375,135.9091796875,182.62328696250916,42.94184350967407
llama-2-7b,2,4,8 8 8 8,int4,False,100,512,6.526480118433635,224.77880859375,248.7958984375,210.697505235672,61.300549268722534
